Extract tasks...
Tuning...
n_trial= 360
early_stopping= 120.0
[Task  1/12]  Current/Best:    0.00/   0.00 GFLOPS | Progress: (0/360) | 0.00 seach measure batch cost time: 38.409632444381714
[Task  1/12]  Current/Best:   83.55/ 100.92 GFLOPS | Progress: (8/360) | 40.57 seach measure batch cost time: 43.14687538146973
[Task  1/12]  Current/Best:   84.25/ 100.92 GFLOPS | Progress: (16/360) | 83.72 seach measure batch cost time: 39.6481077671051
[Task  1/12]  Current/Best:   36.54/ 104.86 GFLOPS | Progress: (24/360) | 123.37 seach measure batch cost time: 43.49391722679138
[Task  1/12]  Current/Best:  101.64/ 104.86 GFLOPS | Progress: (32/360) | 166.87 seach measure batch cost time: 41.69565391540527
[Task  1/12]  Current/Best:   57.61/ 104.86 GFLOPS | Progress: (40/360) | 208.57 seach measure batch cost time: 38.553430795669556
[Task  1/12]  Current/Best:   65.45/ 104.86 GFLOPS | Progress: (48/360) | 247.12 seach measure batch cost time: 37.978015422821045
[Task  1/12]  Current/Best:   56.65/ 104.86 GFLOPS | Progress: (56/360) | 285.10 seach measure batch cost time: 38.923720836639404
[Task  1/12]  Current/Best:   73.53/ 104.86 GFLOPS | Progress: (64/360) | 335.80 seach measure batch cost time: 38.01572132110596
[Task  1/12]  Current/Best:   93.80/ 107.83 GFLOPS | Progress: (72/360) | 373.82 seach measure batch cost time: 38.97121453285217
[Task  1/12]  Current/Best:   93.69/ 110.28 GFLOPS | Progress: (80/360) | 412.79 seach measure batch cost time: 38.602447509765625
[Task  1/12]  Current/Best:   89.24/ 113.96 GFLOPS | Progress: (88/360) | 451.40 seach measure batch cost time: 38.94873261451721
[Task  1/12]  Current/Best:   95.40/ 113.96 GFLOPS | Progress: (96/360) | 490.35 seach measure batch cost time: 39.07332491874695
[Task  1/12]  Current/Best:   86.19/ 113.96 GFLOPS | Progress: (104/360) | 529.42 seach measure batch cost time: 39.104920864105225
[Task  1/12]  Current/Best:   87.78/ 113.96 GFLOPS | Progress: (112/360) | 568.53 seach measure batch cost time: 39.332037687301636
[Task  1/12]  Current/Best:   95.86/ 113.96 GFLOPS | Progress: (120/360) | 607.86 seach measure batch cost time: 43.637728452682495
[Task  1/12]  Current/Best:   30.36/ 113.96 GFLOPS | Progress: (128/360) | 659.41 seach measure batch cost time: 38.715434074401855
[Task  1/12]  Current/Best:   79.44/ 113.96 GFLOPS | Progress: (136/360) | 698.13 seach measure batch cost time: 38.339338064193726
[Task  1/12]  Current/Best:   85.54/ 113.96 GFLOPS | Progress: (144/360) | 736.47 seach measure batch cost time: 38.75686693191528
[Task  1/12]  Current/Best:   91.38/ 113.96 GFLOPS | Progress: (152/360) | 775.23 seach measure batch cost time: 38.74641537666321
[Task  1/12]  Current/Best:   56.23/ 113.96 GFLOPS | Progress: (160/360) | 813.98 seach measure batch cost time: 41.829386711120605
[Task  1/12]  Current/Best:   29.55/ 113.96 GFLOPS | Progress: (168/360) | 855.81 seach measure batch cost time: 40.27147436141968
[Task  1/12]  Current/Best:   77.12/ 113.96 GFLOPS | Progress: (176/360) | 896.09 seach measure batch cost time: 39.25482535362244
[Task  1/12]  Current/Best:   69.66/ 113.96 GFLOPS | Progress: (184/360) | 935.34 seach measure batch cost time: 40.09658360481262
