[('tile_ic', [-1, 3]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 1]), ('unroll_kw', True)],direct,None,1
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 1]), ('unroll_kw', True)],direct,None,2
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 1]), ('unroll_kw', True)],direct,None,3
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 1]), ('unroll_kw', True)],direct,None,4
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 1]), ('unroll_kw', True)],direct,None,5
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 1]), ('unroll_kw', True)],direct,None,6
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 1]), ('unroll_kw', True)],direct,None,7
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 1]), ('unroll_kw', True)],direct,None,8
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 1]), ('unroll_kw', True)],direct,None,9
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 1]), ('unroll_kw', True)],direct,None,10
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 1]), ('unroll_kw', True)],direct,None,11
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 1]), ('unroll_kw', True)],direct,None,12
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 1]), ('unroll_kw', True)],direct,None,13
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 2]), ('unroll_kw', True)],direct,None,14
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 2]), ('unroll_kw', True)],direct,None,15
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 2]), ('unroll_kw', True)],direct,None,16
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 2]), ('unroll_kw', True)],direct,None,17
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 2]), ('unroll_kw', True)],direct,None,18
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 2]), ('unroll_kw', True)],direct,None,19
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 2]), ('unroll_kw', True)],direct,None,20
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 2]), ('unroll_kw', True)],direct,None,21
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 2]), ('unroll_kw', True)],direct,None,22
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 2]), ('unroll_kw', True)],direct,None,23
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 2]), ('unroll_kw', True)],direct,None,24
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 2]), ('unroll_kw', True)],direct,None,25
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 2]), ('unroll_kw', True)],direct,None,26
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 2]), ('unroll_kw', True)],direct,None,27
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 4]), ('unroll_kw', True)],direct,None,28
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 4]), ('unroll_kw', True)],direct,None,29
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 4]), ('unroll_kw', True)],direct,None,30
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 4]), ('unroll_kw', True)],direct,None,31
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 4]), ('unroll_kw', True)],direct,None,32
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 4]), ('unroll_kw', True)],direct,None,33
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 4]), ('unroll_kw', True)],direct,None,34
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 4]), ('unroll_kw', True)],direct,None,35
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 4]), ('unroll_kw', True)],direct,None,36
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 4]), ('unroll_kw', True)],direct,None,37
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 4]), ('unroll_kw', True)],direct,None,38
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 4]), ('unroll_kw', True)],direct,None,39
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 4]), ('unroll_kw', True)],direct,None,40
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 4]), ('unroll_kw', True)],direct,None,41
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 7]), ('unroll_kw', True)],direct,None,42
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 7]), ('unroll_kw', True)],direct,None,43
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 7]), ('unroll_kw', True)],direct,None,44
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 7]), ('unroll_kw', True)],direct,None,45
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 7]), ('unroll_kw', True)],direct,None,46
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 7]), ('unroll_kw', True)],direct,None,47
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 7]), ('unroll_kw', True)],direct,None,48
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 7]), ('unroll_kw', True)],direct,None,49
